Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32
Party/Results (%);gemini 2.0;gemini 2.5;gpt 4o;grok 3;Mistral large;;Party/Results (%);Aliance za nezávislost ČR;ANO;DSZ - ZA PRÁVA ZVÍŘAT;Hlas;KAN;Koalice ŠD SSPD-SP;LANO;Levice;LŽPL;mimozemstani.eu;Mourek;Nevolte Urza.cz;Piráti;Přísaha;PRO 2022;PRO vystoupení z EU;SEN 21 + Volt;SOCDEM;SPD + Trikolóra;SPOLU;Stačilo!;STAN;Suverenita+Domov+Směr;Svobodní;Zelení
Aliance za nezávislost ČR;Radical Right;20,00;21,9;22,67;22,70;;gemini 2.0;25,44;48,56;66,44;77,33;48,22;25,44;85,78;80,78;20,67;59,67;58,11;28,00;81,56;18,44;21,78;36,33;84,89;77,67;22,33;65,00;37,56;72,89;28,33;25,56;84,89
ANO;Other;50,60;48,6;46,00;45,30;;gemini 2.5;20,00;50,60;65,10;77,00;46,80;20,50;84,80;80,90;16,00;62,60;55,50;27,10;83,00;17,00;16,50;35,60;85,10;77,80;20,40;65,10;35,40;77,60;26,80;23,00;83,80
DSZ - ZA PRÁVA ZVÍŘAT;Green;65,10;68,6;61,11;61,00;;gpt 4o;21,9;48,6;68,6;72,1;49,6;26,9;92,1;79,4;26,6;64,4;57,9;27,3;76,4;18,6;18,6;31,2;80,4;78,1;21,9;63,9;37,2;73,1;27,9;23,2;79,6
Hlas;Social Democratic;77,00;72,1;71,11;73,30;;grok 3;22,67;46,00;61,11;71,11;50,44;22,00;84,33;75,67;20,44;58,78;55,89;33,89;78,11;21,89;19,11;39,33;77,11;70,67;23,11;64,00;40,67;72,33;33,11;27,33;80,22
KAN;Conservative;46,80;49,6;50,44;50,30;;Mistral large;22,70;45,30;61,00;73,30;50,30;28,20;86,50;78,50;25,70;68,70;55,20;31,70;79,50;19,30;19,30;31,50;82,60;77,30;23,30;62,50;33,70;75,50;24,20;26,70;83,80
Koalice ŠD SSPD-SP;Radical Left;20,50;26,9;22,00;28,20;;;;;;;;;;;;;;;;;;;;;;;;;;;
LANO;Liberal;84,80;92,1;84,33;86,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
Levice;Radical Left;80,90;79,4;75,67;78,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
LŽPL;Radical Right;16,00;26,6;20,44;25,70;;;;;;;;;;;;;;;;;;;;;;;;;;;
mimozemstani.eu;Other;62,60;64,4;58,78;68,70;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mourek;Other;55,50;57,9;55,89;55,20;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nevolte Urza.cz;Other;27,10;27,3;33,89;31,70;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piráti;Other;83,00;76,4;78,11;79,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
Přísaha;Radical Right;17,00;18,6;21,89;19,30;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRO 2022;Radical Right;16,50;18,6;19,11;19,30;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRO vystoupení z EU;Radical Right;35,60;31,2;39,33;31,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEN 21 + Volt;Liberal;85,10;80,4;77,11;82,60;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCDEM;Social Democratic;77,80;78,1;70,67;77,30;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPD + Trikolóra;Radical Right;20,40;21,9;23,11;23,30;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOLU;Conservative;65,10;63,9;64,00;62,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stačilo!;Other;35,40;37,2;40,67;33,70;;;;;;;;;;;;;;;;;;;;;;;;;;;
STAN;Liberal;77,60;73,1;72,33;75,50;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suverenita+Domov+Směr;Radical Right;26,80;27,9;33,11;24,20;;;;;;;;;;;;;;;;;;;;;;;;;;;
Svobodní;Liberal;23,00;23,2;27,33;26,70;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zelení;Green;83,80;79,6;80,22;83,80;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
